# Matter power spectrum P(k) at redshift z=0.61
# for k=1.04734e-05 to 1.53044 h/Mpc,
# number of wavenumbers equal to 643
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.347365216265e-02       1.283111874650e+04 
       1.360337560723e-02       1.285538140748e+04 
       1.373313535230e-02       1.287854366991e+04 
       1.386293149703e-02       1.290062284050e+04 
       1.399276416397e-02       1.292162831516e+04 
       1.412263349862e-02       1.294157840456e+04 
       1.425253966908e-02       1.296048319353e+04 
       1.438248286574e-02       1.297836214349e+04 
       1.451246330094e-02       1.299521612441e+04 
       1.464248120880e-02       1.301107339013e+04 
       1.477253684489e-02       1.302594301210e+04 
       1.484560572988e-02       1.303386356305e+04 
       1.490263048613e-02       1.303983003586e+04 
       1.503276243053e-02       1.305275808011e+04 
       1.516293299711e-02       1.306473243226e+04 
       1.529314252577e-02       1.307576967947e+04 
       1.542339137717e-02       1.308588248827e+04 
       1.555367993269e-02       1.309508322283e+04 
       1.568400859436e-02       1.310338047787e+04 
       1.581437778486e-02       1.311079233635e+04 
       1.594478794749e-02       1.311732500665e+04 
       1.607523954623e-02       1.312299438449e+04 
       1.620573306572e-02       1.312781324569e+04 
       1.633626901138e-02       1.313178803660e+04 
       1.646684790944e-02       1.313493105836e+04 
       1.659747030706e-02       1.313726209999e+04 
       1.672813677244e-02       1.313879178682e+04 
       1.685884789495e-02       1.313952535901e+04 
       1.698960428530e-02       1.313947718517e+04 
       1.712040657567e-02       1.313865147543e+04 
       1.725125541993e-02       1.313706416014e+04 
       1.738215149385e-02       1.313474027144e+04 
       1.751309549527e-02       1.313166175050e+04 
       1.764408814439e-02       1.312785406329e+04 
       1.777513018401e-02       1.312334173726e+04 
       1.790622237977e-02       1.311811749476e+04 
       1.803736552049e-02       1.311219310859e+04 
       1.816856041843e-02       1.310557847634e+04 
       1.829980790961e-02       1.309830081832e+04 
       1.843110885421e-02       1.309034543493e+04 
       1.856246413682e-02       1.308175407497e+04 
       1.869387466691e-02       1.307250363255e+04 
       1.882534137916e-02       1.306261773709e+04 
       1.895686523387e-02       1.305210517240e+04 
       1.908844721742e-02       1.304098820322e+04 
       1.922008834265e-02       1.302925046650e+04 
       1.935178964938e-02       1.301692860829e+04 
       1.948355220482e-02       1.300401260285e+04 
       1.961537710413e-02       1.299052552333e+04 
       1.974726547089e-02       1.297646913910e+04 
       1.987921845761e-02       1.296185778022e+04 
       2.001123724636e-02       1.294668271091e+04 
       2.014332304924e-02       1.293096876815e+04 
       2.027547710906e-02       1.291472928983e+04 
       2.040770069987e-02       1.289797283251e+04 
       2.053999512764e-02       1.288069717761e+04 
       2.067236173090e-02       1.286292176196e+04 
       2.080480188139e-02       1.284463959017e+04 
       2.093731698481e-02       1.282588244781e+04 
       2.106990848145e-02       1.280663905061e+04 
       2.120257784701e-02       1.278691744418e+04 
       2.133532659333e-02       1.276674207858e+04 
       2.146815626918e-02       1.274612042057e+04 
       2.160106846108e-02       1.272504155664e+04 
       2.173406479411e-02       1.270352876431e+04 
       2.186714693283e-02       1.268158895639e+04 
       2.200031658212e-02       1.265919593754e+04 
       2.213357548814e-02       1.263645077086e+04 
       2.226692543924e-02       1.261325356806e+04 
       2.240036826700e-02       1.258967421827e+04 
       2.253390584716e-02       1.256569898531e+04 
       2.266754010073e-02       1.254134403815e+04 
       2.280127299501e-02       1.251661037453e+04 
       2.293510654477e-02       1.249150995253e+04 
       2.306904281330e-02       1.246604675169e+04 
       2.320308391366e-02       1.244024106242e+04 
       2.333723200987e-02       1.241408084880e+04 
       2.347148931815e-02       1.238755346522e+04 
       2.360585810823e-02       1.236075150326e+04 
       2.374034070468e-02       1.233359078031e+04 
       2.387493948829e-02       1.230610484948e+04 
       2.400965689748e-02       1.227834244115e+04 
       2.414449542975e-02       1.225024067738e+04 
       2.427945764325e-02       1.222185761366e+04 
       2.441454615825e-02       1.219318327602e+04 
       2.454976365884e-02       1.216421475543e+04 
       2.468511289452e-02       1.213499529627e+04 
       2.482059668198e-02       1.210545698128e+04 
       2.495621790680e-02       1.207567702272e+04 
       2.509197952535e-02       1.204564407056e+04 
       2.522788456665e-02       1.201535015130e+04 
       2.536393613430e-02       1.198480757909e+04 
       2.550013740854e-02       1.195404208974e+04 
