# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3500, i.e. number of multipoles equal to 3499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.635758527970e-10       7.448595733635e-15       2.346697566128e-13       0.000000000000e+00       8.609137862788e-11       8.907908544417e-12      -8.622902726390e-15 
   41       1.659786519946e-10       8.091201826160e-15       2.255028855033e-13       0.000000000000e+00       8.185760748898e-11       8.501236332721e-12      -7.837380670376e-15 
   42       1.684100375662e-10       8.768207245730e-15       2.148003312150e-13       0.000000000000e+00       7.789741714530e-11       8.119766989469e-12      -7.104584456302e-15 
   43       1.708703472284e-10       9.480247505210e-15       2.025968340393e-13       0.000000000000e+00       7.420032305869e-11       7.763131773526e-12      -6.526889518049e-15 
   44       1.733558995750e-10       1.022792200230e-14       1.889428167045e-13       0.000000000000e+00       7.073945957094e-11       7.429502803903e-12      -6.223299085850e-15 
   45       1.758614282457e-10       1.101178798924e-14       1.738829826529e-13       0.000000000000e+00       6.748119308060e-11       7.116308850567e-12      -6.290944291959e-15 
   46       1.783891369752e-10       1.183234424392e-14       1.573825956074e-13       0.000000000000e+00       6.442046272896e-11       6.822919176745e-12      -6.673813294270e-15 
   47       1.809417129921e-10       1.269003969338e-14       1.393805214939e-13       0.000000000000e+00       6.155378622272e-11       6.548559013629e-12      -7.256254063161e-15 
   48       1.835195443238e-10       1.358527549816e-14       1.198090507726e-13       0.000000000000e+00       5.886860125314e-11       6.291474642834e-12      -7.897572541524e-15 
   49       1.861205061563e-10       1.451840314064e-14       9.859341990689e-14       0.000000000000e+00       5.634258977967e-11       6.048862128053e-12      -8.430633532831e-15 
   50       1.887415829608e-10       1.548968251564e-14       7.566476075756e-14       0.000000000000e+00       5.395041492697e-11       5.817697155451e-12      -8.706656202830e-15 
   51       1.913847496042e-10       1.649914722638e-14       5.100420275901e-14       0.000000000000e+00       5.168765514470e-11       5.597655446344e-12      -8.747181084855e-15 
   52       1.940523173080e-10       1.754669942015e-14       2.460991461077e-14       0.000000000000e+00       4.955219868776e-11       5.388861865824e-12      -8.630934349524e-15 
   53       1.967451131709e-10       1.863214288637e-14      -3.515127635851e-15       0.000000000000e+00       4.753707968307e-11       5.191030419224e-12      -8.451994819234e-15 
   54       1.994623529163e-10       1.975517926266e-14      -3.336298720596e-14       0.000000000000e+00       4.563015124216e-11       5.003435388892e-12      -8.320568720400e-15 
   55       2.022027447342e-10       2.091551818740e-14      -6.492754539718e-14       0.000000000000e+00       4.381779922637e-11       4.825168121816e-12      -8.336205262581e-15 
   56       2.049684134463e-10       2.211324849325e-14      -9.822716134231e-14       0.000000000000e+00       4.209791278010e-11       4.656048217412e-12      -8.497876657384e-15 
   57       2.077617282959e-10       2.334855258071e-14      -1.332873727754e-13       0.000000000000e+00       4.046956338740e-11       4.495888142129e-12      -8.772917085239e-15 
   58       2.105840797032e-10       2.462160118217e-14      -1.701345712300e-13       0.000000000000e+00       3.892908075407e-11       4.344210062759e-12      -9.122332269943e-15 
   59       2.134357999788e-10       2.593255400750e-14      -2.087961187516e-13       0.000000000000e+00       3.746988334821e-11       4.200228112461e-12      -9.500500496878e-15 
   60       2.163160840357e-10       2.728156038956e-14      -2.493004646107e-13       0.000000000000e+00       3.608230894077e-11       4.062830656786e-12      -9.854873631235e-15 
   61       2.192237629302e-10       2.866862394847e-14      -2.916678273018e-13       0.000000000000e+00       3.475630354343e-11       3.930891219767e-12      -1.013727278368e-14 
   62       2.221600067494e-10       3.009315962623e-14      -3.358795324378e-13       0.000000000000e+00       3.349057688451e-11       3.804322936068e-12      -1.034141448991e-14 
   63       2.251260904806e-10       3.155433791674e-14      -3.819019682040e-13       0.000000000000e+00       3.228521062161e-11       3.683230389821e-12      -1.047331547002e-14 
   64       2.281225435258e-10       3.305120847701e-14      -4.296952337255e-13       0.000000000000e+00       3.113890408072e-11       3.567594678794e-12      -1.054050879896e-14 
   65       2.311490974746e-10       3.458269645810e-14      -4.792129564238e-13       0.000000000000e+00       3.004889549165e-11       3.457266108548e-12      -1.055211281417e-14 
   66       2.342046338763e-10       3.614759883607e-14      -5.304021093730e-13       0.000000000000e+00       2.901088322326e-11       3.351956886596e-12      -1.051890002315e-14 
   67       2.372871320126e-10       3.774458074290e-14      -5.832028286559e-13       0.000000000000e+00       2.801894701890e-11       3.251233816565e-12      -1.045336601116e-14 
   68       2.403946205869e-10       3.937232239456e-14      -6.375595137187e-13       0.000000000000e+00       2.706713247577e-11       3.154643094765e-12      -1.036735024232e-14 
   69       2.435283734637e-10       4.103000264768e-14      -6.934571485433e-13       0.000000000000e+00       2.615475336397e-11       3.062130394514e-12      -1.026418462294e-14 
   70       2.466902706215e-10       4.271690728312e-14      -7.508920458060e-13       0.000000000000e+00       2.528202713712e-11       2.973693168529e-12      -1.014507050946e-14 
   71       2.498818254538e-10       4.443228725754e-14      -8.098613190813e-13       0.000000000000e+00       2.444847117273e-11       2.889252221045e-12      -1.001139223539e-14 
   72       2.531041582177e-10       4.617535888593e-14      -8.703629887660e-13       0.000000000000e+00       2.365286654585e-11       2.808647780558e-12      -9.864723407511e-15 
   73       2.563579694813e-10       4.794530402418e-14      -9.323960880032e-13       0.000000000000e+00       2.289322180252e-11       2.731635572560e-12      -9.706833202074e-15 
   74       2.596435135722e-10       4.974127025157e-14      -9.959607686061e-13       0.000000000000e+00       2.216673673339e-11       2.657882892279e-12      -9.539692661001e-15 
   75       2.629605720255e-10       5.156237105338e-14      -1.061058406983e-12       0.000000000000e+00       2.146976614724e-11       2.586964677414e-12      -9.365480988087e-15 
   76       2.663087842405e-10       5.340762172821e-14      -1.127683390161e-12       0.000000000000e+00       2.079872681826e-11       2.518468717579e-12      -9.186580033547e-15 
   77       2.696887677585e-10       5.527573321341e-14      -1.195796510463e-12       0.000000000000e+00       2.015308934361e-11       2.452342113314e-12      -9.005542668594e-15 
   78       2.731011549828e-10       5.716528081971e-14      -1.265346889124e-12       0.000000000000e+00       1.953286858413e-11       2.388601154033e-12      -8.825130055946e-15 
   79       2.765462351768e-10       5.907476405392e-14      -1.336279802149e-12       0.000000000000e+00       1.893771227840e-11       2.327226124128e-12      -8.648328905911e-15 
   80       2.800239352370e-10       6.100260548344e-14      -1.408536615629e-12       0.000000000000e+00       1.836688415689e-11       2.268159613645e-12      -8.478357530382e-15 
   81       2.835338004659e-10       6.294714960078e-14      -1.482054721062e-12       0.000000000000e+00       1.781924705597e-11       2.211304828962e-12      -8.318671896828e-15 
   82       2.870749753449e-10       6.490666168812e-14      -1.556767470668e-12       0.000000000000e+00       1.729324603207e-11       2.156523903456e-12      -8.172971682290e-15 
   83       2.906461843073e-10       6.687932668183e-14      -1.632604112708e-12       0.000000000000e+00       1.678689147574e-11       2.103636208183e-12      -8.045206327369e-15 
   84       2.942462074829e-10       6.886332253802e-14      -1.709495453418e-12       0.000000000000e+00       1.629824400015e-11       2.052464518301e-12      -7.938550767887e-15 
   85       2.978754406667e-10       7.085705679096e-14      -1.787392062961e-12       0.000000000000e+00       1.582699845448e-11       2.002986006380e-12      -7.852124269998e-15 
   86       3.015345599106e-10       7.285896731154e-14      -1.866248983078e-12       0.000000000000e+00       1.537313276787e-11       1.955203299676e-12      -7.783736218055e-15 
   87       3.052240387975e-10       7.486745140797e-14      -1.946020299917e-12       0.000000000000e+00       1.493642119463e-11       1.909097977978e-12      -7.730856977445e-15 
   88       3.089441375327e-10       7.688086594235e-14      -2.026659175599e-12       0.000000000000e+00       1.451642586153e-11       1.864629688584e-12      -7.690606632241e-15 
   89       3.126948920363e-10       7.889752744742e-14      -2.108117879779e-12       0.000000000000e+00       1.411248831508e-11       1.821735261272e-12      -7.659743722854e-15 
   90       3.164761030344e-10       8.091571224310e-14      -2.190347821214e-12       0.000000000000e+00       1.372372106877e-11       1.780327823272e-12      -7.634653983682e-15 
   91       3.202873251513e-10       8.293365655321e-14      -2.273299579319e-12       0.000000000000e+00       1.334899915040e-11       1.740295914240e-12      -7.611339080763e-15 
   92       3.241278560010e-10       8.494955662210e-14      -2.356922935737e-12       0.000000000000e+00       1.298695164932e-11       1.701502601229e-12      -7.585405349423e-15 
   93       3.279969857280e-10       8.696158925367e-14      -2.441165477731e-12       0.000000000000e+00       1.263628787039e-11       1.663819196991e-12      -7.552966739542e-15 
   94       3.318948122539e-10       8.896797670884e-14      -2.525968099543e-12       0.000000000000e+00       1.229685026820e-11       1.627234138194e-12      -7.513533459068e-15 
   95       3.358215290466e-10       9.096693182972e-14      -2.611268879644e-12       0.000000000000e+00       1.196870498285e-11       1.591758922366e-12      -7.467538981267e-15 
   96       3.397771683611e-10       9.295663887863e-14      -2.697004460425e-12       0.000000000000e+00       1.165181753566e-11       1.557394559093e-12      -7.415465817236e-15 
   97       3.437615939066e-10       9.493525393504e-14      -2.783110060147e-12       0.000000000000e+00       1.134604896956e-11       1.524131159993e-12      -7.357846802734e-15 
   98       3.477744935135e-10       9.690090529256e-14      -2.869519484907e-12       0.000000000000e+00       1.105115198940e-11       1.491947528679e-12      -7.295266385013e-15 
   99       3.518153718002e-10       9.885169385589e-14      -2.956165140594e-12       0.000000000000e+00       1.076676710238e-11       1.460810750727e-12      -7.228361909644e-15 
  100       3.558835428399e-10       1.007856935379e-13      -3.042978044848e-12       0.000000000000e+00       1.049241875837e-11       1.430675783639e-12      -7.157824907344e-15 
  101       3.599781228280e-10       1.027009516564e-13      -3.129887839021e-12       0.000000000000e+00       1.022751149028e-11       1.401485046817e-12      -7.084402380811e-15 
  102       3.640980227483e-10       1.045954893315e-13      -3.216822800135e-12       0.000000000000e+00       9.971326054466e-12       1.373168011522e-12      -7.008898091548e-15 
  103       3.682419410405e-10       1.064673018821e-13      -3.303709852841e-12       0.000000000000e+00       9.723015571053e-12       1.345640790846e-12      -6.932173846694e-15 
  104       3.724086360821e-10       1.083144114710e-13      -3.390475885830e-12       0.000000000000e+00       9.481798043694e-12       1.318825504480e-12      -6.855001498481e-15 
  105       3.765978013505e-10       1.101350322831e-13      -3.477051877826e-12       0.000000000000e+00       9.247571850262e-12       1.292712235365e-12      -6.777593401662e-15 
  106       3.808092953619e-10       1.119274285042e-13      -3.563369353843e-12       0.000000000000e+00       9.020376587577e-12       1.267304717026e-12      -6.700010631467e-15 
  107       3.850428682064e-10       1.136898650250e-13      -3.649359156484e-12       0.000000000000e+00       8.800202435562e-12       1.242601115745e-12      -6.622306257483e-15 
  108       3.892981572894e-10       1.154206084128e-13      -3.734951472236e-12       0.000000000000e+00       8.586988455630e-12       1.218593837828e-12      -6.544524989965e-15 
  109       3.935746830738e-10       1.171179278820e-13      -3.820075857761e-12       0.000000000000e+00       8.380620889060e-12       1.195269336887e-12      -6.466702826145e-15 
