# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:(*)rho_adm            16:(*)rho_adr            17:(.)rho_tot            18:(.)p_tot              19:(.)p_tot_prime        20:gr.fac. D             21:gr.fac. f             22:rel. alpha            23:rel. m_e           
       8.980856820338e+13       8.613045662938e-26       4.743924364448e-09       1.893385875188e+22       1.302590431662e+04       1.450407748081e-10       1.169837816230e+18       2.738533214179e-09       1.789988176302e+44       1.802925976245e+33       1.145238823112e+34       4.101823065655e-08       1.465311421051e+44       3.584910072360e+44       3.319937332335e+32       3.296104748701e+43       3.584910072360e+44       1.194970024075e+44      -9.150631393618e+52       6.572696864417e-06       1.646118170433e+00       1.014080000000e+00       9.724000000000e-01 
       8.884838741853e+13       8.800213238505e-26       4.794856067747e-09       1.853116348275e+22       1.302590431662e+04       1.466082243594e-10       1.157330593200e+18       2.768128427510e-09       1.714657057307e+44       1.745714534524e+33       1.108897472969e+34       4.101823065655e-08       1.403644226549e+44       3.434040200245e+44       3.214587249355e+32       3.157389162569e+43       3.434040200245e+44       1.144680066704e+44      -8.671813870583e+52       6.688994763790e-06       1.617498012609e+00       1.014080000000e+00       9.724000000000e-01 
       8.789847232612e+13       8.991448099440e-26       4.845787771046e-09       1.813703294847e+22       1.302590431662e+04       1.481926132720e-10       1.144957090098e+18       2.798043475082e-09       1.642496226007e+44       1.690318557835e+33       1.073709326598e+34       4.101823065655e-08       1.344572277552e+44       3.289519641740e+44       3.112580193328e+32       3.024511380543e+43       3.289519641740e+44       1.096506547204e+44      -8.218051036181e+52       6.805292663158e-06       1.589856053482e+00       1.014080000000e+00       9.724000000000e-01 
       8.695871317136e+13       9.186838628827e-26       4.898538463749e-09       1.775128498975e+22       1.302590431662e+04       1.497941246089e-10       1.132715877267e+18       2.828281813314e-09       1.573372261788e+44       1.636680436839e+33       1.039637789900e+34       4.101823065655e-08       1.287986353924e+44       3.151081187873e+44       3.013810081478e+32       2.897225720377e+43       3.151081187873e+44       1.050360395917e+44      -7.788031874436e+52       6.921590562522e-06       1.563142985411e+00       1.014080000000e+00       9.724000000000e-01 
       8.602900137289e+13       9.386475129621e-26       4.951289156452e-09       1.737374132156e+22       1.302590431662e+04       1.514129434115e-10       1.120605540338e+18       2.858846935972e-09       1.507157359005e+44       1.584744390290e+33       1.006647430001e+34       4.101823065655e-08       1.233781832031e+44       3.018468875084e+44       2.918174197307e+32       2.775296839289e+43       3.018468875084e+44       1.006156291655e+44      -7.380513969820e+52       7.037888461881e-06       1.537312759906e+00       1.014080000000e+00       9.724000000000e-01 
       8.510922951025e+13       9.590449869501e-26       5.005858838558e-09       1.700422745073e+22       1.302590431662e+04       1.530492567208e-10       1.108624680062e+18       2.889742374595e-09       1.443729090674e+44       1.534456407022e+33       9.747039384029e+33       4.101823065655e-08       1.181858491288e+44       2.891437511961e+44       2.825573083773e+32       2.658499298827e+43       2.891437511961e+44       9.638125039484e+43      -6.994319917657e+52       7.154186361235e-06       1.512322322709e+00       1.014080000000e+00       9.724000000000e-01 
       8.419929131143e+13       9.798857124791e-26       5.058609531261e-09       1.664257259531e+22       1.302590431662e+04       1.547032535992e-10       1.096771912150e+18       2.920971698924e-09       1.382970182115e+44       1.485764189782e+33       9.437740953027e+33       4.101823065655e-08       1.132120328868e+44       2.769752225900e+44       2.735910439860e+32       2.546617148051e+43       2.769752225900e+44       9.232507419294e+43      -6.628333922349e+52       7.270484260582e-06       1.488131374309e+00       1.014080000000e+00       9.724000000000e-01 
       8.329908164066e+13       1.001179321107e-25       5.113179213367e-09       1.628860960562e+22       1.302590431662e+04       1.563751251522e-10       1.085045867114e+18       2.952538517188e-09       1.324768294116e+44       1.438617100842e+33       9.138257350471e+33       4.101823065655e-08       1.084475382192e+44       2.653188028842e+44       2.649093020430e+32       2.439443524250e+43       2.653188028842e+44       8.843960095778e+43      -6.281498573614e+52       7.386782159922e-06       1.464702153154e+00       1.014080000000e+00       9.724000000000e-01 
       8.240849648618e+13       1.022935654648e-25       5.169567884877e-09       1.594217488701e+22       1.302590431662e+04       1.580650645508e-10       1.073445190106e+18       2.984446476706e-09       1.269015815230e+44       1.392966109339e+33       8.848277126812e+33       4.101823065655e-08       1.038835558899e+44       2.541529401281e+44       2.565030539248e+32       2.336780270470e+43       2.541529401281e+44       8.471764670588e+43      -5.952811791403e+52       7.503080059262e-06       1.441999238857e+00       1.014080000000e+00       9.724000000000e-01 
       8.152743294829e+13       1.045164768546e-25       5.225956556387e-09       1.560310832427e+22       1.302590431662e+04       1.597732670534e-10       1.061968540764e+18       3.016699264182e-09       1.215609662805e+44       1.348763740283e+33       8.567498715587e+33       4.101823065655e-08       9.951164739688e+43       2.434569893788e+44       2.483635575095e+32       2.238437569132e+43       2.434569893788e+44       8.115232978955e+43      -5.641323930681e+52       7.619377958600e-06       1.419989373603e+00       1.014080000000e+00       9.724000000000e-01 
       8.065578922741e+13       1.067876936793e-25       5.282345227897e-09       1.527125320756e+22       1.302590431662e+04       1.614999300285e-10       1.050614593058e+18       3.049300606179e-09       1.164451092389e+44       1.305964025187e+33       8.295630119807e+33       4.101823065655e-08       9.532372936999e+43       2.332111745295e+44       2.404823480848e+32       2.144233591074e+43       2.332111745295e+44       7.773705817321e+43      -5.346135037704e+52       7.735675857939e-06       1.398641299539e+00       1.014080000000e+00       9.724000000000e-01 
       7.979346461238e+13       1.091082656587e-25       5.338733899407e-09       1.494645616007e+22       1.302590431662e+04       1.632452529778e-10       1.039382035133e+18       3.082254269516e-09       1.115445515164e+44       1.264522454263e+33       8.032388608294e+33       4.101823065655e-08       9.131205862528e+43       2.233965517449e+44       2.328512295456e+32       2.053994159361e+43       2.233965517449e+44       7.446551724511e+43      -5.066392249862e+52       7.851973757279e-06       1.377925610716e+00       1.014080000000e+00       9.724000000000e-01 
       7.894035946874e+13       1.114792653163e-25       5.396941560321e-09       1.462856706706e+22       1.302590431662e+04       1.650094375588e-10       1.028269569160e+18       3.115564061717e-09       1.068502323054e+44       1.224395930129e+33       7.777500421650e+33       4.101823065655e-08       8.746921784842e+43       2.139949744355e+44       2.254622658697e+32       1.967552427241e+43       2.139949744355e+44       7.133165814207e+43      -4.801287331583e+52       7.968271656620e-06       1.357814617910e+00       1.014080000000e+00       9.724000000000e-01 
       7.809637522728e+13       1.139017884683e-25       5.455149221234e-09       1.431743900652e+22       1.302590431662e+04       1.667926876083e-10       1.017275911186e+18       3.149233831440e-09       1.023534721195e+44       1.185542722997e+33       7.530700487561e+33       4.101823065655e-08       8.378810188051e+43       2.049890597055e+44       2.183077728656e+32       1.884748569658e+43       2.049890597055e+44       6.832968656552e+43      -4.550054339170e+52       8.084569555962e-06       1.338282225163e+00       1.014080000000e+00       9.724000000000e-01 
       7.726141437266e+13       1.163769547674e-25       5.513356882147e-09       1.401292818126e+22       1.302590431662e+04       1.685952091661e-10       1.006399790985e+18       3.183267468953e-09       9.804595674597e+43       1.147922427268e+33       7.291732145136e+33       4.101823065655e-08       8.026190458116e+43       1.963621562132e+44       2.113803101805e+32       1.805429487746e+43       1.963621562132e+44       6.545405206820e+43      -4.311967407827e+52       8.200867455304e-06       1.319303816799e+00       1.014080000000e+00       9.724000000000e-01 
       7.643538043208e+13       1.189059081662e-25       5.573383532465e-09       1.371489385244e+22       1.302590431662e+04       1.704172104985e-10       9.956399519131e+17       3.217668906545e-09       9.391972187335e+43       1.111495919518e+33       7.060346877988e+33       4.101823065655e-08       7.688410624437e+43       1.880983133837e+44       2.046726735631e+32       1.729448525760e+43       1.880983133837e+44       6.269943779178e+43      -4.086338654487e+52       8.317165354646e-06       1.300856153933e+00       1.014080000000e+00       9.724000000000e-01 
       7.561817796419e+13       1.214898175064e-25       5.633410182782e-09       1.342319827452e+22       1.302590431662e+04       1.722589021226e-10       9.849951507590e+17       3.252442119024e-09       8.996713836576e+43       1.076225317807e+33       6.836304055788e+33       4.101823065655e-08       7.364846154402e+43       1.801822519171e+44       1.981778873714e+32       1.656665199918e+43       1.801822519171e+44       6.006075063632e+43      -3.872516190368e+52       8.433463253988e-06       1.282917279540e+00       1.014080000000e+00       9.724000000000e-01 
       7.480971254804e+13       1.241298770485e-25       5.693436833099e-09       1.313770663161e+22       1.302590431662e+04       1.741204968307e-10       9.744641576049e+17       3.287591124154e-09       8.618089815724e+43       1.042073942288e+33       6.619370684022e+33       4.101823065655e-08       7.054898798669e+43       1.725993355383e+44       1.918891973181e+32       1.586944938654e+43       1.725993355383e+44       5.753311184349e+43      -3.669882237537e+52       8.549761153331e-06       1.265466431285e+00       1.014080000000e+00       9.724000000000e-01 
       7.400989077217e+13       1.268273069540e-25       5.755282472819e-09       1.285828697517e+22       1.302590431662e+04       1.760022097144e-10       9.640457556821e+17       3.323119983106e-09       8.255400073962e+43       1.009006277058e+33       6.409321161688e+33       4.101823065655e-08       6.757995485039e+43       1.653355439357e+44       1.858000634469e+32       1.520158833810e+43       1.653355439357e+44       5.511184797604e+43      -3.477851344015e+52       8.666059052675e-06       1.248483961328e+00       1.014080000000e+00       9.724000000000e-01 
       7.321862022383e+13       1.295833539389e-25       5.817128112540e-09       1.258481016298e+22       1.302590431662e+04       1.779042581901e-10       9.537387412308e+17       3.359032800953e-09       7.907974021903e+43       9.769879332232e+32       6.205937046677e+33       4.101823065655e-08       6.473587258889e+43       1.583774468381e+44       1.799041533310e+32       1.456183402286e+43       1.583774468381e+44       5.279248227693e+43      -3.295868692284e+52       8.782356952019e-06       1.231951262567e+00       1.014080000000e+00       9.724000000000e-01 
       7.243580947828e+13       1.323992917974e-25       5.880792741664e-09       1.231714979951e+22       1.302590431662e+04       1.798268620237e-10       9.435419233612e+17       3.395333727123e-09       7.575169291715e+43       9.459856131393e+32       6.009006828606e+33       4.101823065655e-08       6.201148268184e+43       1.517121791835e+44       1.741953354876e+32       1.394900357734e+43       1.517121791835e+44       5.057072639211e+43      -3.123408496304e+52       8.898654851364e-06       1.215850700615e+00       1.014080000000e+00       9.724000000000e-01 
       7.166136808825e+13       1.352764219579e-25       5.944457370788e-09       1.205518217746e+22       1.302590431662e+04       1.817702433560e-10       9.334541239159e+17       3.432026955871e-09       7.256370549422e+43       9.159670757798e+32       5.818325708859e+33       4.101823065655e-08       5.940174791218e+43       1.453274173318e+44       1.686676730014e+32       1.336196391850e+43       1.453274173318e+44       4.844247244163e+43      -2.959972482406e+52       9.014952750708e-06       1.200165551047e+00       1.014080000000e+00       9.724000000000e-01 
       7.089520657347e+13       1.382160742331e-25       6.008121999912e-09       1.179878622063e+22       1.302590431662e+04       1.837346267286e-10       9.234741773333e+17       3.469116726818e-09       6.950988357200e+43       8.869011032084e+32       5.633695387598e+33       4.101823065655e-08       5.690184305262e+43       1.392113562801e+44       1.633154173508e+32       1.279962964876e+43       1.392113562801e+44       4.640378542446e+43      -2.805088449675e+52       9.131250650054e-06       1.184879941484e+00       1.014080000000e+00       9.724000000000e-01 
       7.013723641037e+13       1.412196071770e-25       6.073605618440e-09       1.154784342789e+22       1.302590431662e+04       1.857202391097e-10       9.136009305138e+17       3.506607325340e-09       6.658458083535e+43       8.587574681138e+32       5.454923857550e+33       4.101823065655e-08       5.450714594412e+43       1.333526878351e+44       1.581330024292e+32       1.226096104920e+43       1.333526878351e+44       4.445089594289e+43      -2.658308905664e+52       9.247548549400e-06       1.169978797974e+00       1.014080000000e+00       9.724000000000e-01 
       6.938737002177e+13       1.442884090645e-25       6.139089236967e-09       1.130223781850e+22       1.302590431662e+04       1.877273099202e-10       9.038332426857e+17       3.544503083204e-09       6.378238859265e+43       8.315069023744e+32       5.281825204317e+33       4.101823065655e-08       5.221322894982e+43       1.277405797059e+44       1.531150387570e+32       1.174496215713e+43       1.277405797059e+44       4.258019323320e+43      -2.519209773493e+52       9.363846448748e-06       1.155447795457e+00       1.014080000000e+00       9.724000000000e-01 
       6.864552076686e+13       1.474238981209e-25       6.206391844898e-09       1.106185587842e+22       1.302590431662e+04       1.897560710605e-10       8.941699852739e+17       3.582808378903e-09       6.109812577545e+43       8.051210666207e+32       5.114219413045e+33       4.101823065655e-08       5.001585076866e+43       1.223646554748e+44       1.482563078763e+32       1.125067892466e+43       1.223646554748e+44       4.078821848959e+43      -2.387389166601e+52       9.480144348098e-06       1.141273311780e+00       1.014080000000e+00       9.724000000000e-01 
       6.791160293113e+13       1.506275236243e-25       6.271875463426e-09       1.082658650790e+22       1.302590431662e+04       1.918067569372e-10       8.846100417694e+17       3.621527638342e-09       5.852682935902e+43       7.795725207637e+32       4.951932181206e+33       4.101823065655e-08       4.791094859345e+43       1.172149754131e+44       1.435517569244e+32       1.077719745475e+43       1.172149754131e+44       3.907165846907e+43      -2.262466227615e+52       9.596442247450e-06       1.127442385156e+00       1.014080000000e+00       9.724000000000e-01 
       6.718553171646e+13       1.539007661205e-25       6.340997060761e-09       1.059632097014e+22       1.302590431662e+04       1.938796044898e-10       8.751523076001e+17       3.660665335168e-09       5.606374518605e+43       7.548346954585e+32       4.794794737339e+33       4.101823065655e-08       4.589463059903e+43       1.122820181022e+44       1.389964933787e+32       1.032364231140e+43       1.122820181022e+44       3.742733936549e+43      -2.144080027968e+52       9.712740146803e-06       1.113942674577e+00       1.014080000000e+00       9.724000000000e-01 
