# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.636737240342e-10       7.515503395996e-15       2.344780929771e-13       6.737212702547e-17       8.609137862788e-11       8.907908544417e-12      -8.622902726390e-15 
   41       1.660806406056e-10       8.161442356305e-15       2.252971853719e-13       7.078631516943e-17       8.185760748898e-11       8.501236332721e-12      -7.837380670376e-15 
   42       1.685161883325e-10       8.841854867488e-15       2.145802260861e-13       7.428773363758e-17       7.789741714530e-11       8.119766989469e-12      -7.104584456302e-15 
   43       1.709807017981e-10       9.557374949447e-15       2.023620075103e-13       7.787646233836e-17       7.420032305869e-11       7.763131773526e-12      -6.526889518049e-15 
   44       1.734704963606e-10       1.030860035986e-14       1.886930110775e-13       8.155255409622e-17       7.073945957094e-11       7.429502803903e-12      -6.223299085850e-15 
   45       1.759803025302e-10       1.109608658987e-14       1.736180053016e-13       8.531601641398e-17       6.748119308060e-11       7.116308850567e-12      -6.290944291959e-15 
   46       1.785123217341e-10       1.192033063660e-14       1.571023239251e-13       8.916675445360e-17       6.442046272896e-11       6.822919176745e-12      -6.673813294270e-15 
   47       1.810692392028e-10       1.278177954528e-14       1.390849092814e-13       9.310460798036e-17       6.155378622272e-11       6.548559013629e-12      -7.256254063161e-15 
   48       1.836514410855e-10       1.368083246024e-14       1.194981353175e-13       9.712936368287e-17       5.886860125314e-11       6.291474642834e-12      -7.897572541524e-15 
   49       1.862568008147e-10       1.461783870900e-14       9.826732929602e-14       1.012407524449e-16       5.634258977967e-11       6.048862128053e-12      -8.430633532831e-15 
   50       1.888823013035e-10       1.559305596929e-14       7.532371968796e-14       1.054384628850e-16       5.395041492697e-11       5.817697155451e-12      -8.706656202830e-15 
   51       1.915299162722e-10       1.660651582817e-14       5.064853282396e-14       1.097221926381e-16       5.168765514470e-11       5.597655446344e-12      -8.747181084855e-15 
   52       1.942019560602e-10       1.765811841878e-14       2.424003901405e-14       1.140916062779e-16       4.955219868776e-11       5.388861865824e-12      -8.630934349524e-15 
   53       1.968992470992e-10       1.874766544365e-14      -3.898677614362e-15       1.185463183495e-16       4.753707968307e-11       5.191030419224e-12      -8.451994819234e-15 
   54       1.996210046702e-10       1.987485638045e-14      -3.375956559325e-14       1.230858914068e-16       4.563015124216e-11       5.003435388892e-12      -8.320568720400e-15 
   55       2.023659365120e-10       2.103939872177e-14      -6.533638753733e-14       1.277098926197e-16       4.381779922637e-11       4.825168121816e-12      -8.336205262581e-15 
   56       2.051361661967e-10       2.224137945684e-14      -9.864738890000e-14       1.324180845613e-16       4.209791278010e-11       4.656048217412e-12      -8.497876657384e-15 
   57       2.079340615294e-10       2.348097922780e-14      -1.337179917149e-13       1.372102783785e-16       4.046956338740e-11       4.495888142129e-12      -8.772917085239e-15 
   58       2.107610115286e-10       2.475836701535e-14      -1.705744671688e-13       1.420862796870e-16       3.892908075407e-11       4.344210062759e-12      -9.122332269943e-15 
   59       2.136173471387e-10       2.607370078734e-14      -2.092440522708e-13       1.470458888904e-16       3.746988334821e-11       4.200228112461e-12      -9.500500496878e-15 
   60       2.165022619426e-10       2.742712814732e-14      -2.497550665220e-13       1.520889014999e-16       3.608230894077e-11       4.062830656786e-12      -9.854873631235e-15 
   61       2.194145853265e-10       2.881865099875e-14      -2.921275961608e-13       1.572151661402e-16       3.475630354343e-11       3.930891219767e-12      -1.013727278368e-14 
   62       2.223554841427e-10       3.024768257237e-14      -3.363428394816e-13       1.624247730608e-16       3.349057688451e-11       3.804322936068e-12      -1.034141448991e-14 
   63       2.253262295269e-10       3.171339166725e-14      -3.823670564620e-13       1.677179086972e-16       3.228521062161e-11       3.683230389821e-12      -1.047331547002e-14 
   64       2.283273467526e-10       3.321482626779e-14      -4.301602150162e-13       1.730948038252e-16       3.113890408072e-11       3.567594678794e-12      -1.054050879896e-14 
   65       2.313585629908e-10       3.475090987759e-14      -4.796758083818e-13       1.785557357104e-16       3.004889549165e-11       3.457266108548e-12      -1.055211281417e-14 
   66       2.344187550709e-10       3.632043785331e-14      -5.308606725045e-13       1.841010302578e-16       2.901088322326e-11       3.351956886596e-12      -1.051890002315e-14 
   67       2.375058972408e-10       3.792207373860e-14      -5.836548034245e-13       1.897310641618e-16       2.801894701890e-11       3.251233816565e-12      -1.045336601116e-14 
   68       2.406180129670e-10       3.955449609857e-14      -6.380024575204e-13       1.954462277125e-16       2.706713247577e-11       3.154643094765e-12      -1.036735024232e-14 
   69       2.437563710618e-10       4.121688176735e-14      -6.938884722603e-13       2.012467996594e-16       2.615475336397e-11       3.062130394514e-12      -1.026418462294e-14 
   70       2.469228463054e-10       4.290851438316e-14      -7.513090107492e-13       2.071330507373e-16       2.528202713712e-11       2.973693168529e-12      -1.014507050946e-14 
   71       2.501189466222e-10       4.462864273119e-14      -8.102610340896e-13       2.131052818885e-16       2.444847117273e-11       2.889252221045e-12      -1.001139223539e-14 
   72       2.533457865197e-10       4.637648092665e-14      -8.707424073317e-13       2.191638254065e-16       2.365286654585e-11       2.808647780558e-12      -9.864723407511e-15 
   73       2.566040605278e-10       4.815120859775e-14      -9.327520054231e-13       2.253090460795e-16       2.289322180252e-11       2.731635572560e-12      -9.706833202074e-15 
   74       2.598940166372e-10       4.995197106868e-14      -9.962898191588e-13       2.315413423339e-16       2.216673673339e-11       2.657882892279e-12      -9.539692661001e-15 
   75       2.632154297391e-10       5.177787954267e-14      -1.061357061131e-12       2.378611473774e-16       2.146976614724e-11       2.586964677414e-12      -9.365480988087e-15 
   76       2.665679328885e-10       5.362794710635e-14      -1.127947952397e-12       2.442688395011e-16       2.079872681826e-11       2.518468717579e-12      -9.186580033547e-15 
   77       2.699521395470e-10       5.550088286556e-14      -1.196023119161e-12       2.507644515735e-16       2.015308934361e-11       2.452342113314e-12      -9.005542668594e-15 
   78       2.733686786816e-10       5.739526042734e-14      -1.265531514795e-12       2.573479104024e-16       1.953286858413e-11       2.388601154033e-12      -8.825130055946e-15 
   79       2.768178361822e-10       5.930957763340e-14      -1.336418245158e-12       2.640191221695e-16       1.893771227840e-11       2.327226124128e-12      -8.648328905911e-15 
   80       2.802995356387e-10       6.124225542715e-14      -1.408624503946e-12       2.707779717110e-16       1.836688415689e-11       2.268159613645e-12      -8.478357530382e-15 
   81       2.838133191170e-10       6.319163672069e-14      -1.482087508052e-12       2.776243217984e-16       1.781924705597e-11       2.211304828962e-12      -8.318671896828e-15 
   82       2.873583279356e-10       6.515598526169e-14      -1.556740432918e-12       2.845580124189e-16       1.729324603207e-11       2.156523903456e-12      -8.172971682290e-15 
   83       2.909332834426e-10       6.713348450045e-14      -1.632512347896e-12       2.915788600565e-16       1.678689147574e-11       2.103636208183e-12      -8.045206327369e-15 
   84       2.945369627278e-10       6.912231131292e-14      -1.709333884178e-12       2.986867054477e-16       1.629824400015e-11       2.052464518301e-12      -7.938550767887e-15 
   85       2.981697584817e-10       7.112087369417e-14      -1.787155459792e-12       3.058815675221e-16       1.582699845448e-11       2.002986006380e-12      -7.852124269998e-15 
   86       3.018323436855e-10       7.312761057532e-14      -1.865931971453e-12       3.131635137818e-16       1.537313276787e-11       1.955203299676e-12      -7.783736218055e-15 
   87       3.055251889219e-10       7.514092059420e-14      -1.945617361851e-12       3.205326141890e-16       1.493642119463e-11       1.909097977978e-12      -7.730856977445e-15 
   88       3.092485514700e-10       7.715916222037e-14      -2.026164651351e-12       3.279889412615e-16       1.451642586153e-11       1.864629688584e-12      -7.690606632241e-15 
   89       3.130024643997e-10       7.918065388021e-14      -2.107525969696e-12       3.355325701681e-16       1.411248831508e-11       1.821735261272e-12      -7.659743722854e-15 
   90       3.167867256671e-10       8.120367408197e-14      -2.189652587710e-12       3.431635788238e-16       1.372372106877e-11       1.780327823272e-12      -7.634653983682e-15 
   91       3.206008872087e-10       8.322646154081e-14      -2.272494949002e-12       3.508820479854e-16       1.334899915040e-11       1.740295914240e-12      -7.611339080763e-15 
   92       3.244442440366e-10       8.524721530387e-14      -2.356002701661e-12       3.586880613469e-16       1.298695164932e-11       1.701502601229e-12      -7.585405349423e-15 
   93       3.283160831432e-10       8.726411519443e-14      -2.440123306158e-12       3.665818100672e-16       1.263628787039e-11       1.663819196991e-12      -7.552966739542e-15 
   94       3.322164967251e-10       8.927538639016e-14      -2.524797550652e-12       3.745639241298e-16       1.229685026820e-11       1.627234138194e-12      -7.513533459068e-15 
   95       3.361456716749e-10       9.127924483384e-14      -2.609963416662e-12       3.826351912278e-16       1.196870498285e-11       1.591758922366e-12      -7.467538981267e-15 
   96       3.401036334280e-10       9.327387817822e-14      -2.695557454764e-12       3.907964582809e-16       1.165181753566e-11       1.557394559093e-12      -7.415465817236e-15 
   97       3.440902386240e-10       9.525744619001e-14      -2.781514796756e-12       3.990486329637e-16       1.134604896956e-11       1.524131159993e-12      -7.357846802734e-15 
   98       3.481051677678e-10       9.722808115382e-14      -2.867769167812e-12       4.073926852351e-16       1.105115198940e-11       1.491947528679e-12      -7.295266385013e-15 
   99       3.521479178907e-10       9.918388827617e-14      -2.954252898640e-12       4.158296488669e-16       1.076676710238e-11       1.460810750727e-12      -7.228361909644e-15 
  100       3.562177952116e-10       1.011229460894e-13      -3.040896937639e-12       4.243606229730e-16       1.049241875837e-11       1.430675783639e-12      -7.157824907344e-15 
  101       3.603139077981e-10       1.030433068558e-13      -3.127630863059e-12       4.329867735382e-16       1.022751149028e-11       1.401485046817e-12      -7.084402380811e-15 
  102       3.644351582278e-10       1.049429969713e-13      -3.214382895157e-12       4.417093349471e-16       9.971326054466e-12       1.373168011522e-12      -7.008898091548e-15 
  103       3.685802362490e-10       1.068200173697e-13      -3.301079908354e-12       4.505296115130e-16       9.723015571053e-12       1.345640790846e-12      -6.932173846694e-15 
  104       3.727478920573e-10       1.086723959576e-13      -3.387648745574e-12       4.594488203177e-16       9.481798043694e-12       1.318825504480e-12      -6.855001498481e-15 
  105       3.769378139730e-10       1.104983521161e-13      -3.474020337274e-12       4.684675922590e-16       9.247571850262e-12       1.292712235365e-12      -6.777593401662e-15 
  106       3.811498561951e-10       1.122961552774e-13      -3.560126164087e-12       4.775864061383e-16       9.020376587577e-12       1.267304717026e-12      -6.700010631467e-15 
  107       3.853837645700e-10       1.140640758421e-13      -3.645897030483e-12       4.868057411192e-16       8.800202435562e-12       1.242601115745e-12      -6.622306257483e-15 
  108       3.896391723361e-10       1.158003861552e-13      -3.731263091234e-12       4.961260765120e-16       8.586988455630e-12       1.218593837828e-12      -6.544524989965e-15 
  109       3.939155958690e-10       1.175033614814e-13      -3.816153877882e-12       5.055478915592e-16       8.380620889060e-12       1.195269336887e-12      -6.466702826145e-15 
  110       3.982124304258e-10       1.191712809813e-13      -3.900498325204e-12       5.150716652205e-16       8.180931455381e-12       1.172607921103e-12      -6.388866696536e-15 
  111       4.025289458905e-10       1.208024286867e-13      -3.984224797685e-12       5.246978759577e-16       7.987695650754e-12       1.150583560504e-12      -6.311034111245e-15 
  112       4.068642825184e-10       1.223950944769e-13      -4.067261115978e-12       5.344270015200e-16       7.800631046352e-12       1.129163694235e-12      -6.233212806282e-15 
  113       4.112174466810e-10       1.239475750538e-13      -4.149534583376e-12       5.442595187291e-16       7.619395586741e-12       1.108309037829e-12      -6.155400389863e-15 
  114       4.155873066110e-10       1.254581749182e-13      -4.230972012281e-12       5.541959032641e-16       7.443585888265e-12       1.087973390484e-12      -6.077583988722e-15 
  115       4.199725881471e-10       1.269252073450e-13      -4.311499750666e-12       5.642366294466e-16       7.272735537424e-12       1.068103442330e-12      -5.999739894420e-15 
  116       4.243720480142e-10       1.283470411386e-13      -4.391044348481e-12       5.743822107477e-16       7.106417672662e-12       1.048651774903e-12      -5.921874624002e-15 
  117       4.287850266632e-10       1.297222452601e-13      -4.469534592199e-12       5.846333273543e-16       6.944570516890e-12       1.029618067761e-12      -5.844154521689e-15 
  118       4.332109549685e-10       1.310494636979e-13      -4.546899768484e-12       5.949907137813e-16       6.787208412422e-12       1.011012563222e-12      -5.766791323471e-15 
  119       4.376491800506e-10       1.323273726277e-13      -4.623069078168e-12       6.054551196806e-16       6.634320307875e-12       9.928432461945e-13      -5.690002165017e-15 
  120       4.420989625901e-10       1.335546817926e-13      -4.697971668372e-12       6.160273099866e-16       6.485868978594e-12       9.751157680963e-13      -5.614009594157e-15 
  121       4.465594741426e-10       1.347301358841e-13      -4.771536664634e-12       6.267080650615e-16       6.341790247081e-12       9.578333707810e-13      -5.539041583360e-15 
  122       4.510297944533e-10       1.358525159221e-13      -4.843693203034e-12       6.374981808400e-16       6.201992203423e-12       9.409968104600e-13      -5.465331542226e-15 
  123       4.555089087714e-10       1.369206406358e-13      -4.914370462322e-12       6.483984689749e-16       6.066354425719e-12       9.246042816254e-13      -5.393118329959e-15 
  124       4.599957051647e-10       1.379333678440e-13      -4.983497696038e-12       6.594097569819e-16       5.934727200505e-12       9.086513409733e-13      -5.322646267859e-15 
  125       4.644889718340e-10       1.388895958358e-13      -5.051004264643e-12       6.705328883849e-16       5.806930743186e-12       8.931308313265e-13      -5.254165151799e-15 
  126       4.689873944281e-10       1.397882647509e-13      -5.116819667640e-12       6.817687228610e-16       5.682754418462e-12       8.780328055575e-13      -5.187930264709e-15 
  127       4.734895533577e-10       1.406283579602e-13      -5.180873575704e-12       6.931181363858e-16       5.561955960751e-12       8.633444505118e-13      -5.124202389063e-15 
  128       4.779939211105e-10       1.414089034463e-13      -5.243095862803e-12       7.045820213785e-16       5.444260694625e-12       8.490500109308e-13      -5.063247819355e-15 
  129       4.824990205120e-10       1.421290130887e-13      -5.303417384387e-12       7.161612772380e-16       5.329420771128e-12       8.351337527532e-13      -5.005254231784e-15 
  130       4.870039248432e-10       1.427880024605e-13      -5.361772340221e-12       7.278567804696e-16       5.217401879733e-12       8.215893821511e-13      -4.950067831998e-15 
