#scalar perturbations for mode k = 1.088182900000e-03 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_idr             17:theta_idr             18:shear_idr             19:delta_cdm             20:theta_cdm             21:delta_idm             22:theta_idm          
       7.246151720872e+01       1.947252824213e-04      -1.322674650208e+00       2.514124336687e-05       7.356626150206e-07       1.839156537552e-06       3.315794499239e-11       3.678313075103e-07      -9.920059876563e-01       2.514124336688e-05       5.819080153306e-01       6.696278070989e-01      -1.322674650208e+00       2.513270231098e-05       2.371757207569e-04      -1.322674650208e+00       2.513270231098e-05       2.371757207569e-04      -9.920059876564e-01       2.515306539143e-05      -9.920059876563e-01       2.514124337390e-05 
       7.246152814659e+01       1.947253155313e-04      -1.322674642122e+00       2.514124662188e-05       7.356629609853e-07       1.839157402463e-06       3.315797192675e-11       3.678314804926e-07      -9.920059815916e-01       2.514124662189e-05       5.819080201216e-01       6.696278092121e-01      -1.322674642122e+00       2.513270556200e-05       2.371757940533e-04      -1.322674642122e+00       2.513270556200e-05       2.371757940533e-04      -9.920059815919e-01       2.515306865145e-05      -9.920059815916e-01       2.514124663594e-05 
       7.246153908446e+01       1.947253486413e-04      -1.322674634036e+00       2.514124987689e-05       7.356633069500e-07       1.839158267375e-06       3.315799886113e-11       3.678316534750e-07      -9.920059755270e-01       2.514124987691e-05       5.819080249126e-01       6.696278113253e-01      -1.322674634036e+00       2.513270881302e-05       2.371758673497e-04      -1.322674634036e+00       2.513270881302e-05       2.371758673497e-04      -9.920059755274e-01       2.515307191148e-05      -9.920059755270e-01       2.514124989797e-05 
       7.246164846314e+01       1.947256797411e-04      -1.322674553175e+00       2.514128242701e-05       7.356667666032e-07       1.839166916508e-06       3.315826820590e-11       3.678333833016e-07      -9.920059148812e-01       2.514128242705e-05       5.819080728222e-01       6.696278324572e-01      -1.322674553173e+00       2.513274132323e-05       2.371766003142e-04      -1.322674553173e+00       2.513274132323e-05       2.371766003142e-04      -9.920059148829e-01       2.515310451174e-05      -9.920059148812e-01       2.514128251834e-05 
       7.246175784183e+01       1.947260108411e-04      -1.322674472315e+00       2.514131497713e-05       7.356702262673e-07       1.839175565668e-06       3.315853755240e-11       3.678351131336e-07      -9.920058542364e-01       2.514131497721e-05       5.819081207317e-01       6.696278535888e-01      -1.322674472312e+00       2.513277383346e-05       2.371773332796e-04      -1.322674472312e+00       2.513277383346e-05       2.371773332796e-04      -9.920058542394e-01       2.515313711202e-05      -9.920058542364e-01       2.514131513872e-05 
       7.246186722051e+01       1.947263419412e-04      -1.322674391457e+00       2.514134752726e-05       7.356736859421e-07       1.839184214855e-06       3.315880690064e-11       3.678368429710e-07      -9.920057935926e-01       2.514134752737e-05       5.819081686409e-01       6.696278747200e-01      -1.322674391453e+00       2.513280634369e-05       2.371780662459e-04      -1.322674391453e+00       2.513280634369e-05       2.371780662459e-04      -9.920057935969e-01       2.515316971231e-05      -9.920057935926e-01       2.514134775911e-05 
       7.246197659920e+01       1.947266730414e-04      -1.322674310599e+00       2.514138007740e-05       7.356771456277e-07       1.839192864069e-06       3.315907625063e-11       3.678385728138e-07      -9.920057329496e-01       2.514138007755e-05       5.819082165498e-01       6.696278958510e-01      -1.322674310594e+00       2.513283885393e-05       2.371787992132e-04      -1.322674310594e+00       2.513283885393e-05       2.371787992132e-04      -9.920057329552e-01       2.515320231261e-05      -9.920057329496e-01       2.514138037951e-05 
       7.246307038604e+01       1.947299840496e-04      -1.322673502091e+00       2.514170557931e-05       7.357117430743e-07       1.839279357686e-06       3.316176984603e-11       3.678558715371e-07      -9.920051265685e-01       2.514170557980e-05       5.819086956275e-01       6.696281071446e-01      -1.322673502073e+00       2.513316395682e-05       2.371861289382e-04      -1.322673502073e+00       2.513316395682e-05       2.371861289382e-04      -9.920051265870e-01       2.515352831608e-05      -9.920051265685e-01       2.514170658399e-05 
       7.246416417288e+01       1.947332950689e-04      -1.322672693701e+00       2.514203108212e-05       7.357463415952e-07       1.839365853988e-06       3.316446361522e-11       3.678731707976e-07      -9.920045202756e-01       2.514203108295e-05       5.819091746831e-01       6.696283184088e-01      -1.322672693671e+00       2.513348906060e-05       2.371934587580e-04      -1.322672693671e+00       2.513348906060e-05       2.371934587580e-04      -9.920045203071e-01       2.515385432047e-05      -9.920045202756e-01       2.514203278938e-05 
       7.246525795972e+01       1.947366060995e-04      -1.322671885428e+00       2.514235658583e-05       7.357809411907e-07       1.839452352977e-06       3.316715755821e-11       3.678904705953e-07      -9.920039140711e-01       2.514235658700e-05       5.819096537167e-01       6.696285296437e-01      -1.322671885385e+00       2.513381416526e-05       2.372007886725e-04      -1.322671885385e+00       2.513381416526e-05       2.372007886725e-04      -9.920039141154e-01       2.515418032576e-05      -9.920039140711e-01       2.514235899567e-05 
       7.246635174657e+01       1.947399171414e-04      -1.322671077273e+00       2.514268209043e-05       7.358155418606e-07       1.839538854652e-06       3.316985167502e-11       3.679077709303e-07      -9.920033079548e-01       2.514268209195e-05       5.819101327284e-01       6.696287408493e-01      -1.322671077218e+00       2.513413927080e-05       2.372081186817e-04      -1.322671077218e+00       2.513413927080e-05       2.372081186817e-04      -9.920033080121e-01       2.515450633197e-05      -9.920033079548e-01       2.514268520287e-05 
