# Matter power spectrum P(k) at redshift z=0
# for k=1.04206e-05 to 1.08688 h/Mpc,
# number of wavenumbers equal to 603
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.345350237196e-02       2.461384529868e+04 
       1.358216784648e-02       2.465841563004e+04 
       1.371086960039e-02       2.470068684710e+04 
       1.383960774266e-02       2.474082832305e+04 
       1.396838240534e-02       2.477888314945e+04 
       1.409719374321e-02       2.481489681395e+04 
       1.422604193341e-02       2.484885234658e+04 
       1.435492717513e-02       2.488073459154e+04 
       1.448384968936e-02       2.491060264307e+04 
       1.461280971865e-02       2.493852881511e+04 
       1.474180752687e-02       2.496448794094e+04 
       1.487084339906e-02       2.498853116211e+04 
       1.499991764125e-02       2.501061264341e+04 
       1.512903058034e-02       2.503084045804e+04 
       1.525818256398e-02       2.504919335032e+04 
       1.538737396053e-02       2.506575408127e+04 
       1.551660515895e-02       2.508042392048e+04 
       1.564587656878e-02       2.509338817700e+04 
       1.577518862018e-02       2.510453332581e+04 
       1.590454176383e-02       2.511401440472e+04 
       1.603393647109e-02       2.512171111154e+04 
       1.616337323391e-02       2.512772145121e+04 
       1.629285256503e-02       2.513208362876e+04 
       1.642237499795e-02       2.513473560649e+04 
       1.655194108713e-02       2.513578197097e+04 
       1.668155140806e-02       2.513528148606e+04 
       1.681120655740e-02       2.513313452805e+04 
       1.694090715316e-02       2.512956213460e+04 
       1.707065383489e-02       2.512427288965e+04 
       1.720044726383e-02       2.511751129447e+04 
       1.733028812316e-02       2.510924673189e+04 
       1.746017711819e-02       2.509955989888e+04 
       1.759011497665e-02       2.508839596585e+04 
       1.772010244891e-02       2.507577905243e+04 
       1.785014030829e-02       2.506180656372e+04 
       1.798022935133e-02       2.504556428735e+04 
       1.811037039812e-02       2.502957588314e+04 
       1.824056429261e-02       2.501068623780e+04 
       1.837081190295e-02       2.499122328097e+04 
       1.850111412188e-02       2.497047129541e+04 
       1.863147186710e-02       2.494921535113e+04 
       1.876188608163e-02       2.492578700121e+04 
       1.889235773425e-02       2.490060328550e+04 
       1.902288781996e-02       2.487531178335e+04 
       1.915347736035e-02       2.484765927809e+04 
       1.928412740413e-02       2.481921467401e+04 
       1.941483902758e-02       2.478962454503e+04 
       1.954561333508e-02       2.476027624705e+04 
       1.967645145960e-02       2.472847953575e+04 
       1.980735456323e-02       2.469556544258e+04 
       1.993832383778e-02       2.466111475495e+04 
       2.006936050531e-02       2.462615782025e+04 
       2.020046581878e-02       2.458985453512e+04 
       2.033164106261e-02       2.455369717414e+04 
       2.046288755334e-02       2.451555909190e+04 
       2.059420664032e-02       2.447641409983e+04 
       2.072559970635e-02       2.443521893174e+04 
       2.085706816838e-02       2.439432993024e+04 
       2.098861347829e-02       2.435297781635e+04 
       2.112023712357e-02       2.430924280246e+04 
       2.125194062815e-02       2.426510570400e+04 
       2.138372555317e-02       2.422028625325e+04 
       2.151559349781e-02       2.417453688512e+04 
       2.164754610012e-02       2.412802282758e+04 
       2.177958503794e-02       2.408062279411e+04 
       2.191171202978e-02       2.403232639439e+04 
       2.204392883574e-02       2.398313350863e+04 
       2.217623725849e-02       2.393311045285e+04 
       2.230863914424e-02       2.388248235984e+04 
       2.244113638381e-02       2.383092125047e+04 
       2.257373091364e-02       2.377856358470e+04 
       2.270642471687e-02       2.372564567101e+04 
       2.283921982450e-02       2.367232003083e+04 
       2.297211831656e-02       2.361742112066e+04 
       2.310512232321e-02       2.356294660255e+04 
       2.323823402609e-02       2.350636075651e+04 
       2.337145565950e-02       2.344984280185e+04 
       2.350478951177e-02       2.339253844538e+04 
       2.363823792657e-02       2.333493384420e+04 
       2.377180330430e-02       2.327644102653e+04 
       2.390548810359e-02       2.321725595644e+04 
       2.403929484271e-02       2.315765930446e+04 
       2.417322610114e-02       2.309726066008e+04 
       2.430728452116e-02       2.303718811135e+04 
       2.444147280944e-02       2.297515562132e+04 
       2.457579373877e-02       2.291308999102e+04 
       2.471025014979e-02       2.285134067028e+04 
       2.484484495277e-02       2.278766756904e+04 
       2.497958112948e-02       2.272430391102e+04 
       2.511446173510e-02       2.266002783608e+04 
       2.524948990022e-02       2.259557551421e+04 
       2.538466883286e-02       2.253069045602e+04 
       2.552000182061e-02       2.246529312121e+04 
       2.565549223282e-02       2.239940672069e+04 
       2.579114352282e-02       2.233318151829e+04 
       2.592695923033e-02       2.226650258152e+04 
       2.606294298382e-02       2.219926701825e+04 
       2.619909850303e-02       2.213224345850e+04 
       2.633542960160e-02       2.206380552940e+04 
       2.647194018967e-02       2.199544032482e+04 
       2.660863427676e-02       2.192684949896e+04 
       2.674551597453e-02       2.185776592918e+04 
       2.688258949987e-02       2.178888887202e+04 
       2.701985917789e-02       2.171877595598e+04 
       2.715732944518e-02       2.164916027418e+04 
       2.729500485308e-02       2.157880093697e+04 
       2.743289007114e-02       2.150794736461e+04 
       2.757098989065e-02       2.143696406264e+04 
       2.770930922839e-02       2.136580065311e+04 
       2.784785313038e-02       2.129456129937e+04 
       2.798662677592e-02       2.122269021407e+04 
       2.812563548168e-02       2.115066150353e+04 
       2.826488470601e-02       2.107846467990e+04 
       2.840438005334e-02       2.100601485652e+04 
       2.854412727888e-02       2.093341847719e+04 
       2.868413229333e-02       2.086054289692e+04 
       2.882440116797e-02       2.078743143553e+04 
       2.896494013975e-02       2.071450890761e+04 
       2.910575561676e-02       2.064071294008e+04 
       2.924685418384e-02       2.056707654275e+04 
       2.938824260837e-02       2.049357598888e+04 
       2.952992784643e-02       2.041927762640e+04 
       2.967191704907e-02       2.034557425800e+04 
       2.981421756896e-02       2.027082504142e+04 
       2.995683696724e-02       2.019644434824e+04 
       3.009978302072e-02       2.012186926454e+04 
       3.024306372933e-02       2.004728904562e+04 
       3.038668732390e-02       1.997276167095e+04 
       3.053066227438e-02       1.989748864410e+04 
       3.067499729826e-02       1.982250649276e+04 
       3.081970136948e-02       1.974742302194e+04 
       3.096478372769e-02       1.967221196356e+04 
       3.111025388794e-02       1.959689748659e+04 
       3.125612165085e-02       1.952180608672e+04 
       3.140239711312e-02       1.944636215768e+04 
       3.154909067872e-02       1.937076276694e+04 
       3.169621307040e-02       1.929503167951e+04 
       3.184377534194e-02       1.921935694834e+04 
       3.199178889079e-02       1.914386216484e+04 
       3.214026547150e-02       1.906804070485e+04 
       3.228921720966e-02       1.899231274665e+04 
       3.243865661662e-02       1.891651445271e+04 
       3.258859660488e-02       1.884083541409e+04 
       3.273905050428e-02       1.876491565412e+04 
       3.289003207901e-02       1.868895170891e+04 
       3.304155554547e-02       1.861305810059e+04 
