# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.653318541241e-10       7.721633669272e-15       2.354086479950e-13       6.484863074716e-17       8.506016191665e-11       8.869014780620e-12      -6.939779197744e-15 
   41       1.678081304775e-10       8.385702229032e-15       2.261244015886e-13       6.813704286171e-17       8.085490141246e-11       8.471390639226e-12      -6.460920666207e-15 
   42       1.703076550263e-10       9.085643111631e-15       2.154651359783e-13       7.150829792639e-17       7.692168331323e-11       8.093148146368e-12      -6.437193101242e-15 
   43       1.728333559593e-10       9.821943384984e-15       2.033862969664e-13       7.496243860456e-17       7.325011623512e-11       7.735841607377e-12      -6.725630866491e-15 
   44       1.753847548176e-10       1.059501378580e-14       1.898408756126e-13       7.849950017505e-17       6.981355441472e-11       7.400053307960e-12      -7.146695686025e-15 
   45       1.779595620395e-10       1.140522948024e-14       1.747807424528e-13       8.211950676016e-17       6.657862715920e-11       7.085532270691e-12      -7.524039893430e-15 
   46       1.805598305822e-10       1.225307646320e-14       1.581618016972e-13       8.582245901052e-17       6.354027442309e-11       6.791870542911e-12      -7.823297914758e-15 
   47       1.831870658370e-10       1.313904200702e-14       1.399398900488e-13       8.960834248895e-17       6.069498390660e-11       6.517877106427e-12      -8.050943470336e-15 
   48       1.858402296791e-10       1.406357218514e-14       1.200691010044e-13       9.347713062986e-17       5.803022318424e-11       6.261293091000e-12      -8.216024424654e-15 
   49       1.885155131575e-10       1.502707038593e-14       9.850159139544e-14       9.742878438377e-17       5.552376879665e-11       6.018715562360e-12      -8.330322865639e-15 
   50       1.912084955581e-10       1.602986940148e-14       7.519274312302e-14       1.014632518509e-16       5.315040465187e-11       5.786570681107e-12      -8.408813750310e-15 
   51       1.939218398599e-10       1.707214221043e-14       5.011874894215e-14       1.055804678893e-16       5.090571722496e-11       5.564521402051e-12      -8.470816224459e-15 
   52       1.966592932023e-10       1.815396440919e-14       2.326346573378e-14       1.097803537858e-16       4.878759959033e-11       5.352853019253e-12      -8.539431522517e-15 
   53       1.994233707930e-10       1.927533585559e-14      -5.386466324144e-15       1.140628169101e-16       4.678913020015e-11       5.151478445894e-12      -8.641441713422e-15 
   54       2.022152408971e-10       2.043617793909e-14      -3.584156520668e-14       1.184277503591e-16       4.489824876713e-11       4.959911384444e-12      -8.807483830073e-15 
   55       2.050352705185e-10       2.163638001330e-14      -6.810968734965e-14       1.228750409920e-16       4.310143854857e-11       4.777500986447e-12      -9.062340243997e-15 
   56       2.078850846685e-10       2.287595845444e-14      -1.021967551587e-13       1.274045966912e-16       4.139658693138e-11       4.604265561181e-12      -9.392586256330e-15 
   57       2.107658172126e-10       2.415493233510e-14      -1.381061076742e-13       1.320163252504e-16       3.978275197574e-11       4.440218983586e-12      -9.771210475311e-15 
   58       2.136774076710e-10       2.547327692758e-14      -1.758382293760e-13       1.367101265476e-16       3.825627156012e-11       4.285111070783e-12      -1.016658805469e-14 
   59       2.166185119483e-10       2.683092288956e-14      -2.153907009394e-13       1.414858925159e-16       3.681059535767e-11       4.138410940153e-12      -1.054226974186e-14 
   60       2.195864130639e-10       2.822775544982e-14      -2.567581499916e-13       1.463435071148e-16       3.543611681258e-11       3.999290367431e-12      -1.085677092589e-14 
   61       2.225782822190e-10       2.966353588545e-14      -2.999326350476e-13       1.512828618165e-16       3.412284217857e-11       3.866854476819e-12      -1.107304340709e-14 
   62       2.255954947268e-10       3.113764719937e-14      -3.449050094281e-13       1.563039061940e-16       3.286947782934e-11       3.740931969157e-12      -1.118985233938e-14 
   63       2.286401288364e-10       3.264928965265e-14      -3.916637774967e-13       1.614066086879e-16       3.167609381441e-11       3.621433544810e-12      -1.121709989358e-14 
   64       2.317136553758e-10       3.419755022078e-14      -4.401946536988e-13       1.665909425474e-16       3.054139032703e-11       3.508111603479e-12      -1.116685838079e-14 
   65       2.348168913267e-10       3.578139931377e-14      -4.904805270623e-13       1.718568862929e-16       2.946261969844e-11       3.400551449953e-12      -1.105346652598e-14 
   66       2.379499533996e-10       3.739968749628e-14      -5.425014256981e-13       1.772044241800e-16       2.843550839197e-11       3.298162499844e-12      -1.089362574144e-14 
   67       2.411122116092e-10       3.905114220766e-14      -5.962344813007e-13       1.826335466619e-16       2.745417899731e-11       3.200169485335e-12      -1.070649640036e-14 
   68       2.443028958899e-10       4.073449930837e-14      -6.516554868102e-13       1.881442590010e-16       2.651272061341e-11       3.105811333234e-12      -1.051011741148e-14 
   69       2.475231624482e-10       4.244893600277e-14      -7.087440152574e-13       1.937366080906e-16       2.561044386523e-11       3.015004251717e-12      -1.030960729046e-14 
